cid,data_time,value
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-12-31,128056.85205809522
91E0C8BAA1A7259EE0530BC8100AFFB2,2020-01-01,130340.1667471429
91E0C8BAA1A7259EE0530BC8100AFFB2,2020-01-02,127066.57316809516
91E0C8BAA1A7259EE0530BC8100AFFB2,2020-01-03,129663.09542047622
91E0C8BAA1A7259EE0530BC8100AFFB2,2020-01-04,131284.80921095234
91E0C8BAA1A7259EE0530BC8100AFFB2,2020-01-05,130826.71003476194
91E0C8BAA1A7259EE0530BC8100AFFB2,2020-01-06,125578.36785285713
91E0C8BAA1A7259EE0530BC8100AFFB2,2020-01-07,125306.80758047615
91E0C8BAA1A7259EE0530BC8100AFFB2,2020-01-08,122866.46264000001
91E0C8BAA1A7259EE0530BC8100AFFB2,2020-01-09,123884.56493135531
91E0C8BAA1A7259EE0530BC8100AFFB2,2020-01-10,128847.55530714277
91E0C8BAA1A7259EE0530BC8100AFFB2,2020-01-11,130643.90184380951
91E0C8BAA1A7259EE0530BC8100AFFB2,2020-01-12,127736.97436417587
91E0C8BAA1A7259EE0530BC8100AFFB2,2020-01-13,124829.93840622705
